Sr. Full Stack Developer,Ginger Labs,2016-07-21 17:14:56 -0400,https://www.dice.com/jobs/detail/Sr.-Full-Stack-Developer-Ginger-Labs-San-Francisco-CA-94111/909SoCon/584077?icid=sr1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 909SoCon,Position Id : 584077
"Software Development Engineer, Test",Amazon,2016-07-21 17:16:09 -0400,https://www.dice.com/jobs/detail/Software-Development-Engineer%2C-Test-Amazon-Palo-Alto-CA-94301/amazonAWS/413478?icid=sr2-1p&q=developer&l=94101,"Palo Alto, CA",Dice Id : amazonAWS,Position Id : 413478
R&D Software Engineer (placement) - 4916,Mentor Graphics,2016-07-21 17:16:10 -0400,https://www.dice.com/jobs/detail/R%26D-Software-Engineer-%28placement%29-%26%2345-4916-Mentor-Graphics-Fremont-CA-94536/RTX17424b/4916-177?icid=sr3-1p&q=developer&l=94101,"Fremont, CA",Dice Id : RTX17424b,Position Id : 4916-177
Senior Software Engineer,Cox Automotive,2016-07-21 17:15:24 -0400,https://www.dice.com/jobs/detail/Senior-Software-Engineer-Cox-Automotive-Redwood-City-CA-94061/coxga/167473?icid=sr4-1p&q=developer&l=94101,"Redwood City, CA",Dice Id : coxga,Position Id : 167473
Front End / UI Developer,Capgemini,2016-07-21 17:10:37 -0400,https://www.dice.com/jobs/detail/Front-End-%26%2347-UI-Developer-Capgemini-San-Francisco-CA-94102/KANBAY/601634?icid=sr5-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : KANBAY,Position Id : 601634
Software Engineer,LexisNexis,2016-07-21 17:16:14 -0400,https://www.dice.com/jobs/detail/Software-Engineer-LexisNexis-Menlo-Park-CA-94025/10113302/LEX00F6Q?icid=sr6-1p&q=developer&l=94101,"Menlo Park, CA",Dice Id : 10113302,Position Id : LEX00F6Q
Sr Developer,Cox Automotive,2016-07-21 17:15:27 -0400,https://www.dice.com/jobs/detail/Sr-Developer-Cox-Automotive-Redwood-City-CA-94061/coxga/164693?icid=sr7-1p&q=developer&l=94101,"Redwood City, CA",Dice Id : coxga,Position Id : 164693
Salesforce Developer-On-site Coordinator,Deloitte,2016-07-21 17:16:16 -0400,https://www.dice.com/jobs/detail/Salesforce-Developer%26%2345On%26%2345site-Coordinator-Deloitte-Oakland-CA-94601/10106525/24103232000005562?icid=sr8-1p&q=developer&l=94101,"Oakland, CA",Dice Id : 10106525,Position Id : 24103232000005562
Salesforce Developer-On-site Coordinator,Deloitte,2016-07-21 17:16:17 -0400,https://www.dice.com/jobs/detail/Salesforce-Developer%26%2345On%26%2345site-Coordinator-Deloitte-San-Francisco-CA-94101/10106525/24103232000005582?icid=sr9-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 10106525,Position Id : 24103232000005582
Contractor - Micro Focus Cobol Developer,First Republic Bank,2016-07-21 17:16:19 -0400,https://www.dice.com/jobs/detail/Contractor-%26%2345-Micro-Focus-Cobol-Developer-First-Republic-Bank-San-Francisco-CA-94101/90780659/3055?icid=sr10-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 90780659,Position Id : 3055
Senior Software Development Engineer,Fresenius Medical Care,2016-07-21 17:15:32 -0400,https://www.dice.com/jobs/detail/Senior-Software-Development-Engineer-Fresenius-Medical-Care-Concord-CA-94520/fresenma/611789?icid=sr11-1p&q=developer&l=94101,"Concord, CA",Dice Id : fresenma,Position Id : 611789
Developer Advocate (aka Crafty Coder Who Loves Evangelism),mLab,2016-07-21 17:16:22 -0400,https://www.dice.com/jobs/detail/Developer-Advocate-%28aka-Crafty-Coder-Who-Loves-Evangelism%29-mLab-San-Francisco-CA-94110/90867508/131408?icid=sr12-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 90867508,Position Id : 131408
Software Developer in Test,"Oportun, Inc.",2016-07-21 17:15:35 -0400,https://www.dice.com/jobs/detail/Software-Developer-in-Test-Oportun%2C-Inc.-Redwood-City-CA-94063/RTX17b806/3792?icid=sr13-1p&q=developer&l=94101,"Redwood City, CA",Dice Id : RTX17b806,Position Id : 3792
Software Engineer 2,Asurion LLC,2016-07-21 17:16:24 -0400,https://www.dice.com/jobs/detail/Software-Engineer-2-Asurion-LLC-San-Mateo-CA-94401/10106849/TEC00916?icid=sr14-1p&q=developer&l=94101,"San Mateo, CA",Dice Id : 10106849,Position Id : TEC00916
Software Engineer - Mobile Platform and Tooling,Uber,2016-07-21 17:16:25 -0400,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Mobile-Platform-and-Tooling-Uber-San-Francisco-CA-94101/90958168/20384?icid=sr15-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 90958168,Position Id : 20384
Software Engineer - Map Metrics,Uber,2016-07-21 17:16:27 -0400,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Map-Metrics-Uber-Palo-Alto-CA-94301/90958168/15107?icid=sr16-1p&q=developer&l=94101,"Palo Alto, CA",Dice Id : 90958168,Position Id : 15107
Software Engineer - Mobile,Uber,2016-07-21 17:16:28 -0400,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Mobile-Uber-San-Francisco-CA-94101/90958168/14731?icid=sr17-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 90958168,Position Id : 14731
Software Engineer - Security R&D,Uber,2016-07-21 17:16:29 -0400,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Security-R%26D-Uber-San-Francisco-CA-94101/90958168/14662?icid=sr18-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 90958168,Position Id : 14662
Software Engineer - Security Analytics,Uber,2016-07-21 17:16:30 -0400,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Security-Analytics-Uber-San-Francisco-CA-94101/90958168/20033?icid=sr19-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 90958168,Position Id : 20033
Software Engineer - Data Privacy,Uber,2016-07-21 17:16:31 -0400,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Data-Privacy-Uber-San-Francisco-CA-94101/90958168/14017?icid=sr20-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 90958168,Position Id : 14017
Software Engineer - iOS (Platform),Uber,2016-07-21 17:16:32 -0400,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-iOS-%28Platform%29-Uber-San-Francisco-CA-94101/90958168/21410?icid=sr21-1p&q=developer&l=94101,"San Francisco, CA",Dice Id : 90958168,Position Id : 21410
Software Engineer - Map Editing Tools,Uber,2016-07-21 17:16:34 -0400,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Map-Editing-Tools-Uber-Palo-Alto-CA-94301/90958168/20130?icid=sr22-1p&q=developer&l=94101,"Palo Alto, CA",Dice Id : 90958168,Position Id : 20130
Senior Web Application Developer,iTradeNetwork,2016-07-21 17:16:35 -0400,https://www.dice.com/jobs/detail/Senior-Web-Application-Developer-iTradeNetwork-Dublin-CA-94568/RTL71022/6A904DBB0F81236F7182AB74154B8DD4?icid=sr23-1p&q=developer&l=94101,"Dublin, CA",Dice Id : RTL71022,Position Id : 6A904DBB0F81236F7182AB74154B8DD4
Senior/Lead Software Engineer,iTradeNetwork,2016-07-21 17:16:37 -0400,https://www.dice.com/jobs/detail/Senior%26%2347Lead-Software-Engineer-iTradeNetwork-Dublin-CA-94568/RTL71022/BDEF9D9C2CE1CCE9EB5B780100A127DE?icid=sr24-1p&q=developer&l=94101,"Dublin, CA",Dice Id : RTL71022,Position Id : BDEF9D9C2CE1CCE9EB5B780100A127DE
